year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
2008,2009,81,SOUND MIXING,Male,"Tom Myers, Michael Semanick and Ben Burtt",White,WALL-E,FALSE
2008,2009,81,SOUND MIXING,Male,"Chris Jenkins, Frank A. Monta?±o and Petr Forejt",White,Wanted,FALSE
2008,2009,81,VISUAL EFFECTS,Male,"Nick Davis, Chris Corbould, Tim Webber and Paul Franklin",White,The Dark Knight,FALSE
2008,2009,81,VISUAL EFFECTS,Male,"John Nelson, Ben Snow, Dan Sudick and Shane Mahan",White,Iron Man,FALSE
2008,2009,81,WRITING (Adapted Screenplay),Female,Screenplay by Eric Roth; Screen story by Eric Roth and Robin Swicord,White,The Curious Case of Benjamin Button,FALSE
2008,2009,81,WRITING (Adapted Screenplay),Male,Written by John Patrick Shanley,White,Doubt,FALSE
2008,2009,81,WRITING (Adapted Screenplay),Male,Screenplay by Peter Morgan,White,Frost/Nixon,FALSE
2008,2009,81,WRITING (Adapted Screenplay),Male,Screenplay by David Hare,White,The Reader,FALSE
2008,2009,81,WRITING (Original Screenplay),Female,Written by Courtney Hunt,White,Frozen River,FALSE
2008,2009,81,WRITING (Original Screenplay),Male,Written by Mike Leigh,White,Happy-Go-Lucky,FALSE
2008,2009,81,WRITING (Original Screenplay),Male,Written by Martin McDonagh,White,In Bruges,FALSE
2008,2009,81,WRITING (Original Screenplay),Male,"Screenplay by Andrew Stanton, Jim Reardon; Original story by Andrew Stanton, Pete Docter",White,WALL-E,FALSE
2008,2009,81,Best Actor,Male,Sean Penn,White,Milk,TRUE
2008,2009,81,Best Actor in supporting role,Male,Heath Ledger,White,The Dark Knight,TRUE
2008,2009,81,Best Actress,Female,Kate Winslet,White,The Reader,TRUE
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,Female,Pen?©lope Cruz,White,Vicky Cristina Barcelona,TRUE
2008,2009,81,ANIMATED FEATURE FILM,Male,Andrew Stanton,White,WALL-E,TRUE
